Date : 2023-01-24 18:11:40
Directory : c:\Users\adria\Documents\GitHub\grid-test\src
Total : 133 files,  5320 codes, 520 comments, 832 blanks, all 6672 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         67 |      2,008 |        122 |        406 |      2,536 |
| CSS        |         23 |      1,937 |        295 |        384 |      2,616 |
| HTML       |         23 |      1,202 |         91 |         25 |      1,318 |
| JSON       |          3 |        105 |          0 |          3 |        108 |
| XML        |         16 |         58 |          9 |         12 |         79 |
| Python     |          1 |         10 |          3 |          2 |         15 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        133 |      5,320 |        520 |        832 |      6,672 |
| . (Files)                                                                                                   |          6 |         86 |         61 |         23 |        170 |
| app                                                                                                         |        106 |      5,123 |        439 |        792 |      6,354 |
| app (Files)                                                                                                 |          6 |        208 |          5 |         34 |        247 |
| app\alert                                                                                                   |          3 |        172 |         14 |         34 |        220 |
| app\auth                                                                                                    |          2 |         41 |          0 |         11 |         52 |
| app\containers                                                                                              |         18 |        938 |        117 |        164 |      1,219 |
| app\containers (Files)                                                                                      |          3 |        116 |          1 |         23 |        140 |
| app\containers\container                                                                                    |          3 |        277 |         35 |         43 |        355 |
| app\containers\containercanvas                                                                              |          3 |        125 |         19 |         25 |        169 |
| app\containers\logs                                                                                         |          6 |        271 |         43 |         50 |        364 |
| app\containers\logs (Files)                                                                                 |          3 |        218 |         43 |         39 |        300 |
| app\containers\logs\singlelog                                                                               |          3 |         53 |          0 |         11 |         64 |
| app\containers\new                                                                                          |          3 |        149 |         19 |         23 |        191 |
| app\containers\new\canvas                                                                                   |          3 |        149 |         19 |         23 |        191 |
| app\dashboard                                                                                               |          9 |        823 |         61 |         92 |        976 |
| app\dashboard (Files)                                                                                       |          3 |        187 |         12 |         23 |        222 |
| app\dashboard\chart                                                                                         |          3 |        519 |         46 |         55 |        620 |
| app\dashboard\stats                                                                                         |          3 |        117 |          3 |         14 |        134 |
| app\directives                                                                                              |          1 |         12 |          0 |          7 |         19 |
| app\interceptor                                                                                             |          3 |         79 |          0 |         17 |         96 |
| app\login                                                                                                   |          3 |        213 |         33 |         42 |        288 |
| app\login\login                                                                                             |          3 |        213 |         33 |         42 |        288 |
| app\models                                                                                                  |         11 |        164 |          8 |         16 |        188 |
| app\navbar                                                                                                  |          3 |        209 |          7 |         29 |        245 |
| app\services                                                                                                |         20 |        566 |         10 |        120 |        696 |
| app\sidebar                                                                                                 |          6 |        245 |         52 |         47 |        344 |
| app\sidebar (Files)                                                                                         |          3 |        138 |         16 |         23 |        177 |
| app\sidebar\sidebar-new                                                                                     |          3 |        107 |         36 |         24 |        167 |
| app\title                                                                                                   |          3 |         55 |          0 |         13 |         68 |
| app\util                                                                                                    |          3 |         73 |          0 |          7 |         80 |
| app\util\loader                                                                                             |          3 |         73 |          0 |          7 |         80 |
| app\widgets                                                                                                 |         15 |      1,325 |        132 |        159 |      1,616 |
| app\widgets\dashboard                                                                                       |          6 |        500 |        120 |         76 |        696 |
| app\widgets\dashboard\bigwidget                                                                             |          3 |        248 |          4 |         43 |        295 |
| app\widgets\dashboard\widget                                                                                |          3 |        252 |        116 |         33 |        401 |
| app\widgets\expandwidget                                                                                    |          3 |        188 |          0 |         25 |        213 |
| app\widgets\newwidget                                                                                       |          3 |        361 |          5 |         33 |        399 |
| app\widgets\smallwidget                                                                                     |          3 |        276 |          7 |         25 |        308 |
| assets                                                                                                      |         18 |         99 |          9 |         13 |        121 |
| assets (Files)                                                                                              |         17 |         96 |          9 |         12 |        117 |
| assets\colors                                                                                               |          1 |          3 |          0 |          1 |          4 |
| environments                                                                                                |          3 |         12 |         11 |          4 |         27 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                    | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\adria\Documents\GitHub\grid-test\src\app\alert\alert.component.css                                 | CSS        |        117 |          0 |         22 |        139 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\alert\alert.component.html                                | HTML       |          8 |         14 |          2 |         24 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\alert\alert.component.ts                                  | TypeScript |         47 |          0 |         10 |         57 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\app.component.css                                         | CSS        |         32 |          5 |         15 |         52 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\app.component.html                                        | HTML       |         23 |          0 |          0 |         23 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\app.component.spec.ts                                     | TypeScript |         27 |          0 |          5 |         32 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\app.component.ts                                          | TypeScript |         36 |          0 |          7 |         43 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\app.module.ts                                             | TypeScript |         83 |          0 |          4 |         87 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\auth\auth-guard.service.spec.ts                           | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\auth\auth-guard.service.ts                                | TypeScript |         29 |          0 |          6 |         35 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\container\container.component.css              | CSS        |         55 |          3 |         17 |         75 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\container\container.component.html             | HTML       |        111 |          9 |          1 |        121 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\container\container.component.ts               | TypeScript |        111 |         23 |         25 |        159 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\containercanvas\containercanvas.component.css  | CSS        |         82 |         18 |         16 |        116 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\containercanvas\containercanvas.component.html | HTML       |         21 |          1 |          1 |         23 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\containercanvas\containercanvas.component.ts   | TypeScript |         22 |          0 |          8 |         30 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\containers.component.css                       | CSS        |         53 |          0 |         13 |         66 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\containers.component.html                      | HTML       |         28 |          1 |          1 |         30 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\containers.component.ts                        | TypeScript |         35 |          0 |          9 |         44 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\logs\logs.component.css                        | CSS        |        166 |         13 |         28 |        207 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\logs\logs.component.html                       | HTML       |         19 |         30 |          3 |         52 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\logs\logs.component.ts                         | TypeScript |         33 |          0 |          8 |         41 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\logs\singlelog\singlelog.component.css         | CSS        |         18 |          0 |          5 |         23 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\logs\singlelog\singlelog.component.html        | HTML       |         20 |          0 |          1 |         21 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\logs\singlelog\singlelog.component.ts          | TypeScript |         15 |          0 |          5 |         20 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\new\canvas\canvas.component.css                | CSS        |        117 |          0 |         18 |        135 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\new\canvas\canvas.component.html               | HTML       |         16 |         19 |          0 |         35 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\new\canvas\canvas.component.ts                 | TypeScript |         16 |          0 |          5 |         21 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\chart\chart.component.css                       | CSS        |        192 |         37 |         28 |        257 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\chart\chart.component.html                      | HTML       |         21 |          1 |          0 |         22 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\chart\chart.component.ts                        | TypeScript |        306 |          8 |         27 |        341 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\dashboard.component.css                         | CSS        |         11 |          4 |          4 |         19 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\dashboard.component.html                        | HTML       |         52 |          8 |          0 |         60 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\dashboard.component.ts                          | TypeScript |        124 |          0 |         19 |        143 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\stats\stats.component.css                       | CSS        |         47 |          1 |          6 |         54 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\stats\stats.component.html                      | HTML       |         29 |          2 |          1 |         32 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\stats\stats.component.ts                        | TypeScript |         41 |          0 |          7 |         48 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\directives\dropdown.directive.ts                          | TypeScript |         12 |          0 |          7 |         19 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\dynamicname.service.ts                                    | TypeScript |          7 |          0 |          3 |         10 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\interceptor\api.interceptor.spec.ts                       | TypeScript |         13 |          0 |          4 |         17 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\interceptor\api.interceptor.ts                            | TypeScript |         40 |          0 |          5 |         45 |
